City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Shima,CN,73.42,broken clouds,24.4478,117.8111,龙海钻石大酒店
500,Jiquinlaca,HN,73.44,broken clouds,14.0,-88.35,Hotel Plaza Colonial
504,Vao,NC,77.4,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
505,Merauke,ID,87.53,overcast clouds,-8.4667,140.3333,
507,Amahai,ID,83.79,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
509,Ixtapa,MX,70.23,overcast clouds,20.7,-105.2,hotel la terminal
510,Puri,IN,84.72,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
520,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
522,Lazaro Cardenas,MX,72.27,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
524,Kavaratti,IN,82.99,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
527,Saint-Pierre,RE,77.18,light intensity drizzle rain,-21.3393,55.4781,Lindsey Hôtel
529,Mareeba,AU,83.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
533,Bosaso,SO,77.92,few clouds,11.2842,49.1816,Red Sea Hotel
536,Puerto Carreno,CO,79.63,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
537,Wajir,KE,76.33,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
539,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
541,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
544,Rojhan,PK,88.41,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
547,Mackay,AU,87.67,broken clouds,-21.15,149.2,International Lodge Motel
553,Ulladulla,AU,82.76,clear sky,-35.35,150.4667,Sandpiper Motel
555,Gamba,GA,77.49,broken clouds,-2.65,10.0,
558,Siguiri,GN,80.64,broken clouds,11.6667,-9.5,
559,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
564,Kavieng,PG,85.86,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
565,Boma,GH,72.34,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
568,Quatre Cocos,MU,83.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
569,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
570,Moerai,PF,81.0,few clouds,-22.4333,-151.3333,Le Manotel
580,Juntas,CR,74.84,overcast clouds,10.2809,-84.9595,Hotel Pueblo Antiguo Abangares and Hot Springs
583,Matadi,CD,73.67,broken clouds,-5.8167,13.45,Hotel Vivi Palace
585,Duki,PK,73.51,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
586,Daru,PG,86.95,overcast clouds,-9.0763,143.2092,Daru Lodge
587,San Onofre,CO,78.78,overcast clouds,9.7359,-75.5263,Hotel Sinai
592,Koppal,IN,82.11,broken clouds,15.35,76.15,OYO 37740 Hotel Manik Residency
596,Trincomalee,LK,84.51,clear sky,8.5711,81.2335,Welcombe Hotel
597,Polewali,ID,82.29,overcast clouds,-3.4324,119.3435,Lilianto Hotel
600,Belmonte,BR,75.42,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
604,Escarcega,MX,72.66,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
606,Biltine,TD,70.14,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
612,Okato,NZ,70.92,light rain,-39.2,173.8833,Goodin Country Garden
617,Pouembout,NC,78.73,overcast clouds,-21.1333,164.9,Camping de Tipenga
619,Caxito,AO,71.64,light rain,-8.5785,13.6643,
623,Nisia Floresta,BR,77.38,light rain,-6.0911,-35.2086,Rancho Crepusculo
